batch_size,peak,persistent
1.0,646.14404296875,515.80859375
2.0,787.58544921875,535.32421875
3.0,891.19091796875,518.71484375
4.0,1016.15576171875,523.46484375
5.0,1130.43310546875,519.875
6.0,1263.83447265625,521.72216796875
7.0,1373.24462890625,519.38623046875
8.0,1496.67041015625,522.35498046875
9.0,1617.19775390625,523.11279296875
10.0,1745.63916015625,524.81591796875
11.0,1866.18408203125,521.1396484375
12.0,1993.97900390625,525.7841796875
13.0,2105.27587890625,528.3408203125
14.0,2225.24462890625,523.9248046875
15.0,2354.15869140625,529.6552734375
16.0,2473.947265625,530.04150390625
17.0,2596.85546875,529.30322265625
18.0,2725.599609375,533.08056640625
19.0,2838.53125,529.31298828125
20.0,2953.462890625,528.61181640625
21.0,3077.96875,531.03369140625
22.0,3198.05615234375,530.689453125
23.0,3321.72412109375,531.392578125
24.0,3441.14990234375,531.900390625
25.0,3564.89404296875,534.978515625
26.0,3685.82958984375,534.376953125
27.0,3807.6513671875,534.62646484375
28.0,3929.2978515625,534.08740234375
29.0,4048.2431640625,534.19287109375
30.0,4176.5400390625,539.14599609375
31.0,4301.1708984375,536.46630859375
32.0,4412.00830078125,533.8525390625
33.0,4537.39501953125,537.1318359375
34.0,4664.34033203125,537.3603515625
35.0,4784.24658203125,536.6455078125
36.0,4904.07861328125,540.2587890625
37.0,5030.31298828125,541.4345703125
38.0,5144.921875,538.43017578125
39.0,5273.515625,542.30908203125
40.0,5402.1015625,545.88330078125
41.0,5514.89453125,539.91455078125
42.0,5629.13671875,539.02392578125
43.0,5753.81396484375,542.4375
44.0,5878.24169921875,545.7890625
45.0,6000.34912109375,543.1484375
46.0,6134.76904296875,543.78125
47.0,6242.09130859375,547.068359375
48.0,6364.1005859375,548.00732421875
49.0,6487.8271484375,550.34716796875
50.0,6618.6240234375,550.18701171875
51.0,6735.1337890625,551.27099609375
52.0,6853.7490234375,551.51513671875
53.0,6977.5400390625,546.88232421875
54.0,7105.24462890625,553.0029296875
55.0,7221.33837890625,552.3974609375
56.0,7341.83447265625,552.8193359375
57.0,7464.93603515625,550.7333984375
58.0,7582.68603515625,553.1943359375
59.0,7729.677734375,560.01025390625
60.0,7837.794921875,555.09228515625
61.0,7962.48828125,557.65283203125
62.0,8093.197265625,558.15087890625
63.0,8192.068359375,558.57275390625
64.0,8336.56787109375,555.912109375
65.0,8441.41015625,557.15673828125
66.0,8563.916015625,558.38134765625
67.0,8700.630859375,556.05322265625
68.0,8817.224609375,560.20947265625
69.0,8944.349609375,559.90869140625
70.0,9048.00927734375,557.779296875
71.0,9172.15771484375,562.306640625
72.0,9297.84912109375,560.958984375
73.0,9409.43701171875,561.5234375
74.0,9541.02099609375,561.990234375
75.0,9665.9345703125,562.27294921875
76.0,9776.7861328125,562.23193359375
77.0,9899.9912109375,562.24365234375
78.0,10026.5283203125,562.40380859375
79.0,10169.9833984375,563.27099609375
80.0,10295.25439453125,564.6611328125
81.0,10394.35986328125,566.5869140625
82.0,10510.56689453125,565.4736328125
83.0,10630.86572265625,564.3115234375
84.0,10749.87158203125,570.0830078125
85.0,10880.12158203125,566.2958984375
86.0,10995.52734375,574.41064453125
87.0,11115.607421875,567.72705078125
88.0,11245.58203125,569.50439453125
89.0,11391.958984375,570.47705078125
90.0,11502.91015625,567.87158203125
91.0,11626.87060546875,575.42578125
92.0,11740.99560546875,571.64453125
93.0,11870.44482421875,575.65625
94.0,11963.44482421875,570.51953125
95.0,12085.07177734375,574.451171875
96.0,12229.1279296875,575.34716796875
97.0,12333.3779296875,573.06005859375
98.0,12463.5107421875,576.33154296875
99.0,12576.6630859375,574.39404296875
100.0,12711.2919921875,576.77685546875
101.0,12850.3779296875,576.76904296875
102.0,12962.84619140625,578.3701171875
103.0,13074.95166015625,579.9365234375
104.0,13203.87744140625,581.8154296875
105.0,13302.62353515625,579.8642578125
106.0,13445.05322265625,579.7333984375
107.0,13546.673828125,579.31884765625
108.0,13677.970703125,583.23681640625
109.0,13809.548828125,581.65869140625
110.0,13947.919921875,584.92041015625
111.0,14062.6171875,583.05908203125
112.0,14187.00146484375,584.595703125
113.0,14314.03271484375,585.607421875
114.0,14415.08740234375,583.736328125
115.0,14521.60302734375,587.779296875
116.0,14642.25146484375,586.517578125
117.0,14783.01123046875,589.220703125
118.0,14894.5830078125,588.37255859375
